element_id,element_type,label,description,role_scope,phase_scope,canonical,enabled,canonical_source,notes
D_SHARED_TEAM_MISSION,data,Team mission is maximize colonist survival,The team goal is to save as many colonists as possible within the allotted time.,team,all,True,True,SRC_TEAM_SHARED,Shared objective statement.
D_SHARED_PLANNING_REVIEW_ORDER,data,Review shared folders then role brief,"Players should review shared information, then role information, then plan/execute.",team,planning,True,True,SRC_TEAM_SHARED,Used for normative planning progression.
D_SHARED_PHASE1_TARGET_50_CIV,data,Phase 1 target = 50 civilians,First wave target is 50 civilians.,team,phase1,True,True,SRC_TEAM_SHARED,Phase 1 objective.
D_SHARED_PHASE2_TARGET_40_CIV_20_VIP,data,Phase 2 target = 40 civilians + 20 VIPs,Second wave target is 40 civilians and 20 VIPs.,team,phase2,True,True,SRC_TEAM_SHARED,Task-design-backed phase target.
D_SHARED_BUILD_TYPES,data,Core structure types,"Colony requires Water Generators, Greenhouses, and Housing.",team,all,True,True,SRC_TEAM_SHARED,Shared task framing.
D_SHARED_ANY_MEMBER_CAN_BUILD_ANY_STRUCTURE,data,Any member may build any structure type,Any team member may contribute to any structure type in the construction zone.,team,phase1,True,True,SRC_TEAM_SHARED,Important for generalized action selection.
D_SHARED_WHITEBOARD_AVAILABLE,data,Whiteboard available,"Team may use whiteboard to make notes, sketch plans, and design a functioning colony.",team,all,True,True,SRC_WHITEBOARD,Shared externalization medium.
D_SHARED_BRIDGE_OPTION_EXISTS,data,Bridge option exists,Bridge may be built to access the second building/resource zone.,team,all,True,True,SRC_TEAM_SHARED,Environment/layout option.
D_SHARED_RESOURCES_REQUIRE_TRANSPORT_TIME,data,Resources must be moved from piles to work sites,Resources are not free at construction locations; movement from resource piles to work sites takes time/effort.,team,all,True,True,SRC_TEAM_SHARED,Abstracted transport-time rule; carts not explicitly simulated.
D_ARCH_SPACING_6_STUDS,data,Structures need 6 studs spacing,All structures must be placed at least 6 studs away from other structures.,architect,all,True,True,SRC_ARCHITECT_BRIEF,Canonical spacing rule.
D_ARCH_STRUCTURES_ARE_INDIVIDUAL,data,Each structure is separate,"Each water generator, greenhouse, and house is its own individual structure.",architect,all,True,True,SRC_ARCHITECT_BRIEF,Structure identity rule.
D_ARCH_CAPACITY_PER_2X2,data,House capacity per 2x2 floorspace,One 2x2 brick of floorspace supports 3 civilians or 2 VIPs.,architect,all,True,True,SRC_ARCHITECT_BRIEF,Housing capacity atom.
D_ARCH_HEADROOM_1_BRICK,data,House needs 1 brick headroom,Housing must include at least one brick of space between the floor and ceiling.,architect,all,True,True,SRC_ARCHITECT_BRIEF,Role-brief canonical headroom value.
D_ARCH_AIRLOCK_SIZE,data,House airlock opening,Housing requires an opening 1 brick (2 studs) wide and 1 brick high.,architect,all,True,True,SRC_ARCHITECT_BRIEF,Airlock spec.
D_ARCH_HOUSE_ENCLOSED,data,House enclosed otherwise,Housing must otherwise be completely enclosed.,architect,all,True,True,SRC_ARCHITECT_BRIEF,Enclosure rule.
D_ARCH_FLOOR_SINGLE_COLOR,data,House floor single solid color,Floors inside a home must be a single solid color.,architect,all,True,True,SRC_ARCHITECT_BRIEF,Aesthetic rule.
D_ARCH_WALLS_CEILING_DIFF_COLOR,data,Walls/ceiling differ from floor,Walls and ceilings must be a different color than the floor and can be multi-colored.,architect,all,True,True,SRC_ARCHITECT_BRIEF,Aesthetic rule.
