rule_id,label,description,role_scope,phase_scope,required_knowledge,required_information,enabled,notes
R_MISSION_MAXIMIZE_SURVIVAL,Maximize colonist survival,Team should maximize survivability of arriving colonists.,team,all,K_COLONY_SURVIVAL_REQUIRES_HOUSING_FOOD_WATER,I_SHARED_COLONY_BUILD_REQUIREMENTS,True,Mission-level rule.
R_HOUSE_VALIDITY,House validity,"A house is valid only if geometry, enclosure, airlock, floorspace, and aesthetics requirements are satisfied.",architect,all,K_HOUSE_VALIDITY_REQUIREMENTS,I_ARCH_HOUSING_GEOMETRY|I_ARCH_HOUSING_AESTHETICS|I_ARCH_HOUSING_CAPACITY,True,Validation rule.
R_HOUSE_SUPPORT_DEPENDENCY,House support dependency,A house contributes only when connected to food and water resources.,architect,all,K_HOUSE_SUPPORT_DEPENDENCIES,I_ARCH_HOUSING_DEPENDENCIES|I_ENG_CONNECTOR_RULES,True,Housing support rule.
R_GREENHOUSE_VALIDITY,Greenhouse validity,"A greenhouse is valid only if soil, geometry, air gap, and glass-cover rules are satisfied.",botanist,all,K_GREENHOUSE_VALIDITY_REQUIREMENTS,I_BOT_SOIL_COMPOSITION|I_BOT_GREENHOUSE_GEOMETRY,True,Validation rule.
R_GREENHOUSE_SUPPORT_DEPENDENCY,Greenhouse support dependency,A greenhouse contributes only when watered and connected to housing.,botanist,all,K_GREENHOUSE_SUPPORT_DEPENDENCIES,I_BOT_GREENHOUSE_DEPENDENCIES|I_ENG_CONNECTOR_RULES,True,Greenhouse support rule.
R_WATERGEN_VALIDITY,Water generator validity,"A water generator is valid only if foundation, water stack, and cap requirements are satisfied.",engineer,all,K_WATERGEN_VALIDITY_REQUIREMENTS,I_ENG_WATERGEN_GEOMETRY,True,Validation rule.
R_WATERGEN_SUPPORT_LIMIT,Water generator support limit,A water generator supports a maximum of two directly connected structures with output split evenly.,engineer,all,K_WATER_SUPPORT_CAPACITY_MODEL|K_DIRECT_CONNECTION_MATTERS,I_ENG_DISTRIBUTION_TOPOLOGY|I_ENG_WATER_CAPACITY,True,Capacity rule.
R_CONNECTOR_REQUIRED_FOR_FLOW,Connectors required for resource flow,Food and water resources only flow when proper connectors are present.,team,all,K_CONNECTORS_ENABLE_RESOURCE_FLOW,I_ENG_CONNECTOR_RULES,True,Cross-role connector rule.
R_DIRECT_CONNECTION_ONLY,Direct connection only,Resources cannot be passed through one structure to another.,team,all,K_DIRECT_CONNECTION_MATTERS,I_ENG_DISTRIBUTION_TOPOLOGY,True,Topology rule.
R_LAYOUT_SPACING,Layout spacing,All structures must be placed at least 6 studs apart.,team,all,K_LAYOUT_MUST_RESPECT_SPACING,I_ARCH_HOUSING_GEOMETRY,True,Spatial rule.
R_PHASE1_TARGET,Phase 1 colony target,The colony should support 50 civilians in phase 1.,team,phase1,K_PHASE1_SUPPORT_TARGET,I_SHARED_PHASE_OBJECTIVES,True,Phase 1 rule.
R_PHASE2_TARGET,Phase 2 colony target,The colony should support 40 civilians and 20 VIPs in phase 2.,team,phase2,K_PHASE2_SUPPORT_TARGET,I_SHARED_PHASE_OBJECTIVES,True,Phase 2 rule.
R_RESOURCES_REQUIRE_TRANSPORT_TIME,Resource movement cost,Resources require time/effort to move from piles to work sites.,team,all,K_SECOND_ZONE_CAN_EXPAND_OPTIONS,I_SHARED_RESOURCE_MOVEMENT_COST,True,Abstracted logistics rule.
