method_id,goal_id,label,description,phase_scope,required_rules,required_knowledge,required_information,required_data,candidate_steps,completion_conditions,enabled,notes
PM_REVIEW_SHARED_INFO,G_PLANNING_REDUCE_UNCERTAINTY,Review shared information,Inspect shared packet and absorb team-level DIK.,planning,,,I_SHARED_PHASE_OBJECTIVES|I_SHARED_COLONY_BUILD_REQUIREMENTS,,move_to_target>inspect_information_source>reassess_plan,Shared DIK acquired from SRC_TEAM_SHARED.,True,Planning method.
PM_REVIEW_ROLE_INFO_ARCH,G_ACQUIRE_MISSING_DIK,Review architect brief,Inspect architect brief to acquire shelter constraints.,all,,,I_ARCH_HOUSING_GEOMETRY|I_ARCH_HOUSING_CAPACITY|I_ARCH_HOUSING_AESTHETICS|I_ARCH_HOUSING_DEPENDENCIES,,move_to_target>inspect_information_source>reassess_plan,Architect information acquired.,True,Architect info method.
PM_REVIEW_ROLE_INFO_BOT,G_ACQUIRE_MISSING_DIK,Review botanist brief,Inspect botanist brief to acquire greenhouse/food constraints.,all,,,I_BOT_SOIL_COMPOSITION|I_BOT_GREENHOUSE_GEOMETRY|I_BOT_GREENHOUSE_CAPACITY|I_BOT_GREENHOUSE_DEPENDENCIES,,move_to_target>inspect_information_source>reassess_plan,Botanist information acquired.,True,Botanist info method.
PM_REVIEW_ROLE_INFO_ENG,G_ACQUIRE_MISSING_DIK,Review engineer brief,Inspect engineer brief to acquire water/connectivity constraints.,all,,,I_ENG_WATER_CAPACITY|I_ENG_WATERGEN_GEOMETRY|I_ENG_CONNECTOR_RULES|I_ENG_DISTRIBUTION_TOPOLOGY,,move_to_target>inspect_information_source>reassess_plan,Engineer information acquired.,True,Engineer info method.
PM_EXTERNALIZE_COLONY_PLAN,G_TEAM_EXTERNALIZE_PLAN,Externalize colony plan,Create or update a whiteboard/shared artifact representing team plan.,planning,,K_COLONY_SURVIVAL_REQUIRES_HOUSING_FOOD_WATER|K_SHARED_PLANNING_AND_EXTERNALIZATION_HELP,I_SHARED_PLANNING_NORM,,move_to_target>externalize_plan>communicate,Team plan artifact exists and is visible to team.,True,Whiteboard externalization method.
PM_BUILD_VALID_HOUSE,G_ARCH_PROVIDE_SHELTER,Build valid house,Construct and validate a house externalization.,all,R_HOUSE_VALIDITY,K_HOUSE_VALIDITY_REQUIREMENTS|K_HOUSE_SUPPORT_DEPENDENCIES,I_ARCH_HOUSING_GEOMETRY|I_ARCH_HOUSING_CAPACITY|I_ARCH_HOUSING_AESTHETICS|I_ARCH_HOUSING_DEPENDENCIES,D_SHARED_RESOURCES_REQUIRE_TRANSPORT_TIME,transport_resources>move_to_target>start_construction>continue_construction>validate_construction,Validated house artifact exists.,True,Shelter method.
PM_BUILD_VALID_GREENHOUSE,G_BOT_PROVIDE_FOOD,Build valid greenhouse,Construct and validate a greenhouse externalization.,all,R_GREENHOUSE_VALIDITY,K_GREENHOUSE_VALIDITY_REQUIREMENTS|K_GREENHOUSE_SUPPORT_DEPENDENCIES,I_BOT_SOIL_COMPOSITION|I_BOT_GREENHOUSE_GEOMETRY|I_BOT_GREENHOUSE_CAPACITY|I_BOT_GREENHOUSE_DEPENDENCIES,D_SHARED_RESOURCES_REQUIRE_TRANSPORT_TIME,transport_resources>move_to_target>start_construction>continue_construction>validate_construction,Validated greenhouse artifact exists.,True,Food method.
PM_BUILD_VALID_WATERGEN,G_ENG_PROVIDE_WATER,Build valid water generator,Construct and validate a water generator externalization.,all,R_WATERGEN_VALIDITY,K_WATERGEN_VALIDITY_REQUIREMENTS|K_WATER_SUPPORT_CAPACITY_MODEL,I_ENG_WATER_CAPACITY|I_ENG_WATERGEN_GEOMETRY|I_ENG_DISTRIBUTION_TOPOLOGY,D_SHARED_RESOURCES_REQUIRE_TRANSPORT_TIME,transport_resources>move_to_target>start_construction>continue_construction>validate_construction,Validated water generator artifact exists.,True,Water method.
PM_CONNECT_HOUSE_RESOURCES,G_ARCH_PROVIDE_SHELTER,Connect house to food and water,Connect a house to food and water resources.,all,R_HOUSE_SUPPORT_DEPENDENCY|R_CONNECTOR_REQUIRED_FOR_FLOW,K_HOUSE_SUPPORT_DEPENDENCIES|K_CONNECTORS_ENABLE_RESOURCE_FLOW,I_ARCH_HOUSING_DEPENDENCIES|I_ENG_CONNECTOR_RULES,,move_to_target>continue_construction>validate_construction,House is connected to food and water.,True,Connection method.
PM_CONNECT_GREENHOUSE_RESOURCES,G_BOT_PROVIDE_FOOD,Connect greenhouse resources,Connect greenhouse to water and housing support chain.,all,R_GREENHOUSE_SUPPORT_DEPENDENCY|R_CONNECTOR_REQUIRED_FOR_FLOW,K_GREENHOUSE_SUPPORT_DEPENDENCIES|K_CONNECTORS_ENABLE_RESOURCE_FLOW,I_BOT_GREENHOUSE_DEPENDENCIES|I_ENG_CONNECTOR_RULES,,move_to_target>continue_construction>validate_construction,Greenhouse connected and watered.,True,Connection method.
PM_VALIDATE_COLONY_PHASE1,G_PHASE1_SUPPORT_50_CIV,Validate phase 1 colony,Consult artifacts and validate whether colony supports 50 civilians.,phase1,R_PHASE1_TARGET|R_HOUSE_VALIDITY|R_GREENHOUSE_VALIDITY|R_WATERGEN_VALIDITY,K_PHASE1_SUPPORT_TARGET|K_COLONY_SURVIVAL_REQUIRES_HOUSING_FOOD_WATER,,,consult_team_artifact>validate_construction>reassess_plan,Phase 1 support deemed sufficient or deficiencies identified.,True,Phase 1 validation method.
PM_ADAPT_COLONY_FOR_PHASE2,G_PHASE2_SUPPORT_40_CIV_20_VIP,Adapt colony for phase 2,Revise plans and externalizations to support phase 2 population.,phase2,R_PHASE2_TARGET,K_PHASE2_SUPPORT_TARGET|K_COLONY_SURVIVAL_REQUIRES_HOUSING_FOOD_WATER,I_SHARED_PHASE_OBJECTIVES,,reassess_plan>consult_team_artifact>externalize_plan>transport_resources>start_construction>validate_construction,Phase 2 support sufficient or revised plan externalized.,True,Phase 2 adaptation method.
